ds4: [t=+12338.9ms] coordinator connected; plan: 3337 experts for this worker (coordinator keeps 5562 hottest, SSD tail active on coordinator)
ds4: [t=+24959.0ms] plan installed: 3337/3337 experts wired (22.00 GiB); serving
ds4: [t=+47422.0ms] req seq=132 L37 k=1 ids=[12] w=[0.2209] compute=1.91 ms ok
ds4: [t=+47431.6ms] req seq=133 L39 k=1 ids=[184] w=[0.2231] compute=1.87 ms ok
ds4: [t=+47439.2ms] req seq=134 L40 k=1 ids=[252] w=[0.2647] compute=1.85 ms ok
ds4: [t=+47502.2ms] req seq=135 L14 k=1 ids=[88] w=[0.1402] compute=2.14 ms ok
ds4: [t=+47502.4ms] tok#6 done: 21 layer-reqs, 30 experts, compute 39.22 ms (1.87 ms/layer), wall 286.21 ms, errors=0, evict-hints=21 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=135 misses=0 swaps=134
ds4: [t=+47502.4ms] tok#6 experts: L3=[197] L9=[65,34,30] L10=[113,80] L11=[42] L12=[174,193] L13=[216] L15=[113,88] L16=[140,180] L17=[142,189] L19=[219] L20=[107] L21=[131,146] L22=[221,147] L23=[80] L24=[66] L26=[122] L30=[0] L33=[13] L37=[12] L39=[184] L40=[252]
ds4: [t=+47509.8ms] req seq=136 L15 k=2 ids=[226,88] w=[0.3372,0.1657] compute=1.95 ms ok
ds4: [t=+47516.3ms] req seq=137 L16 k=1 ids=[205] w=[0.1522] compute=1.86 ms ok
ds4: [t=+47522.7ms] req seq=138 L17 k=2 ids=[189,194] w=[0.2548,0.2054] compute=1.82 ms ok
ds4: [t=+47530.9ms] req seq=139 L19 k=2 ids=[235,24] w=[0.2079,0.1766] compute=1.80 ms ok
ds4: [t=+47537.1ms] req seq=140 L20 k=1 ids=[0] w=[0.2193] compute=1.89 ms ok
ds4: [t=+47543.8ms] req seq=141 L21 k=1 ids=[146] w=[0.1915] compute=1.87 ms ok
ds4: [t=+47552.0ms] req seq=142 L23 k=2 ids=[53,109] w=[0.3261,0.1924] compute=1.90 ms ok
ds4: [t=+47558.5ms] req seq=143 L24 k=1 ids=[12] w=[0.2162] compute=1.85 ms ok
ds4: [t=+47613.8ms] req seq=144 L34 k=1 ids=[122] w=[0.1676] compute=2.16 ms ok
ds4: [t=+47621.6ms] req seq=145 L35 k=2 ids=[7,218] w=[0.1713,0.1553] compute=1.84 ms ok
ds4: [t=+47635.8ms] req seq=146 L38 k=1 ids=[140] w=[0.2928] compute=1.85 ms ok
ds4: [t=+47664.4ms] req seq=147 L3 k=1 ids=[202] w=[0.2195] compute=1.93 ms ok
ds4: [t=+47664.6ms] tok#7 done: 12 layer-reqs, 17 experts, compute 22.91 ms (1.91 ms/layer), wall 164.50 ms, errors=0, evict-hints=12 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=147 misses=0 swaps=146
ds4: [t=+47664.6ms] tok#7 experts: L14=[88] L15=[226,88] L16=[205] L17=[189,194] L19=[235,24] L20=[0] L21=[146] L23=[53,109] L24=[12] L34=[122] L35=[7,218] L38=[140]
ds4: [t=+47671.2ms] req seq=148 L5 k=1 ids=[23] w=[0.1842] compute=1.81 ms ok
ds4: [t=+47688.7ms] req seq=149 L12 k=1 ids=[157] w=[0.1195] compute=1.88 ms ok
ds4: [t=+47696.8ms] req seq=150 L14 k=1 ids=[74] w=[0.1288] compute=1.85 ms ok
ds4: [t=+47702.6ms] req seq=151 L15 k=1 ids=[9] w=[0.1540] compute=1.97 ms ok
ds4: [t=+47710.7ms] req seq=152 L18 k=1 ids=[41] w=[0.1749] compute=1.84 ms ok
ds4: [t=+47716.9ms] req seq=153 L19 k=2 ids=[57,172] w=[0.1302,0.1232] compute=1.91 ms ok
ds4: [t=+47723.3ms] req seq=154 L20 k=1 ids=[177] w=[0.1758] compute=1.86 ms ok
ds4: [t=+47729.8ms] req seq=155 L21 k=1 ids=[243] w=[0.1185] compute=1.84 ms ok
ds4: [t=+47736.2ms] req seq=156 L22 k=1 ids=[82] w=[0.2744] compute=1.93 ms ok
ds4: [t=+47742.1ms] req seq=157 L23 k=1 ids=[196] w=[0.0459] compute=1.85 ms ok
ds4: [t=+47748.3ms] req seq=158 L24 k=1 ids=[205] w=[0.1535] compute=1.73 ms ok
ds4: [t=+47771.6ms] req seq=159 L30 k=1 ids=[201] w=[0.1139] compute=1.95 ms ok
ds4: [t=+47778.2ms] req seq=160 L31 k=1 ids=[79] w=[0.2042] compute=1.75 ms ok
ds4: [t=+47784.3ms] req seq=161 L32 k=1 ids=[127] w=[0.2837] compute=1.84 ms ok
ds4: [t=+47792.2ms] req seq=162 L33 k=1 ids=[1] w=[0.1800] compute=1.83 ms ok
ds4: [t=+47799.6ms] req seq=163 L34 k=2 ids=[115,64] w=[0.3162,0.2477] compute=1.86 ms ok
ds4: [t=+47805.7ms] req seq=164 L35 k=2 ids=[218,59] w=[0.2244,0.1980] compute=1.82 ms ok
ds4: [t=+47812.5ms] req seq=165 L36 k=1 ids=[4] w=[0.2461] compute=1.76 ms ok
ds4: [t=+47819.0ms] req seq=166 L37 k=1 ids=[73] w=[0.2170] compute=1.80 ms ok
ds4: [t=+47828.2ms] req seq=167 L39 k=1 ids=[73] w=[0.3978] compute=1.81 ms ok
ds4: [t=+47837.8ms] req seq=168 L41 k=1 ids=[108] w=[0.4270] compute=1.87 ms ok
ds4: [t=+47859.2ms] req seq=169 L4 k=1 ids=[197] w=[0.3954] compute=1.91 ms ok
ds4: [t=+47859.3ms] tok#8 done: 22 layer-reqs, 25 experts, compute 40.68 ms (1.85 ms/layer), wall 196.78 ms, errors=0, evict-hints=22 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=169 misses=0 swaps=168
ds4: [t=+47859.3ms] tok#8 experts: L3=[202] L5=[23] L12=[157] L14=[74] L15=[9] L18=[41] L19=[57,172] L20=[177] L21=[243] L22=[82] L23=[196] L24=[205] L30=[201] L31=[79] L32=[127] L33=[1] L34=[115,64] L35=[218,59] L36=[4] L37=[73] L39=[73] L41=[108]
ds4: [t=+47865.2ms] req seq=170 L5 k=1 ids=[86] w=[0.1419] compute=1.87 ms ok
ds4: [t=+47871.9ms] req seq=171 L6 k=2 ids=[78,98] w=[0.3105,0.1769] compute=1.88 ms ok
ds4: [t=+47878.5ms] req seq=172 L7 k=2 ids=[159,24] w=[0.3583,0.3149] compute=1.85 ms ok
ds4: [t=+47884.6ms] req seq=173 L8 k=1 ids=[199] w=[0.1607] compute=1.81 ms ok
ds4: [t=+47890.5ms] req seq=174 L9 k=1 ids=[5] w=[0.2449] compute=1.77 ms ok
ds4: [t=+47900.6ms] req seq=175 L11 k=3 ids=[12,189,75] w=[0.3618,0.2366,0.1535] compute=1.84 ms ok
ds4: [t=+47907.1ms] req seq=176 L12 k=3 ids=[130,227,160] w=[0.5419,0.1640,0.1569] compute=1.76 ms ok
ds4: [t=+47913.2ms] req seq=177 L13 k=2 ids=[251,50] w=[0.3791,0.1869] compute=1.76 ms ok
ds4: [t=+47920.4ms] req seq=178 L14 k=2 ids=[249,219] w=[0.1928,0.1845] compute=1.80 ms ok
ds4: [t=+47927.0ms] req seq=179 L15 k=1 ids=[209] w=[0.1996] compute=1.82 ms ok
ds4: [t=+47932.9ms] req seq=180 L16 k=1 ids=[156] w=[0.1416] compute=1.81 ms ok
ds4: [t=+47938.7ms] req seq=181 L17 k=2 ids=[245,255] w=[0.2413,0.2175] compute=1.77 ms ok
ds4: [t=+47946.3ms] req seq=182 L19 k=1 ids=[213] w=[0.1328] compute=1.75 ms ok
ds4: [t=+47952.5ms] req seq=183 L20 k=1 ids=[151] w=[0.1899] compute=1.82 ms ok
ds4: [t=+47962.5ms] req seq=184 L22 k=3 ids=[136,240,147] w=[0.3773,0.2113,0.1910] compute=1.77 ms ok
ds4: [t=+47974.7ms] req seq=185 L24 k=2 ids=[254,214] w=[0.3905,0.2667] compute=1.92 ms ok
ds4: [t=+47987.1ms] req seq=186 L26 k=1 ids=[232] w=[0.3087] compute=1.86 ms ok
ds4: [t=+48004.6ms] req seq=187 L29 k=1 ids=[100] w=[0.2112] compute=1.87 ms ok
ds4: [t=+48020.0ms] req seq=188 L32 k=1 ids=[135] w=[0.2254] compute=1.90 ms ok
ds4: [t=+48045.8ms] req seq=189 L37 k=1 ids=[132] w=[0.2201] compute=1.89 ms ok
ds4: [t=+48063.0ms] req seq=190 L40 k=1 ids=[119] w=[0.1904] compute=1.85 ms ok
ds4: [t=+48070.1ms] req seq=191 L41 k=1 ids=[174] w=[0.1807] compute=1.82 ms ok
ds4: [t=+48077.6ms] req seq=192 L42 k=2 ids=[12,126] w=[0.2371,0.2226] compute=1.80 ms ok
